year,journal,doi,title,affiliation_cntr,studysite,appl_domaine,application,platform,sensor_type,m_misc,m_ge,m_wv,m_wv1,m_vw2,m_vw3,m_vw4,m_landsat5,m_landsat7,m_landsat8,m_modis,m_aster,m_jl1,m_gf1,m_gf2,m_s2,m_quickbird,m_spot5,m_spot6,m_rapideye,m_ikonos,m_zy3,m_ps_dove,m_pleiades,m_geoeye1,m_superview,m_terrasarx,m_s1,m_gf3,m_tandemx,m_radarsat1,m_radarsat2,m_alospalsar,m_ers2,m_envisat_asar,task,arch_group,architecture,arch_family,conv_backbone,backbone_family,dl_framework,keras_backend,ds_custom,ds_misc,ds_isprs_potsdam,ds_isprs_vaihingen,ds_ieee_zeebruges,ds_lcz42,ds_hrsc2016,ds_munich3k,ds_busy_parking_lot,ds_aeriallanes18,ds_vedai,ds_dg_roads,ds_ma_roads,ds_ma_building,ds_cheng_roads,ds_dota,ds_nwpuvhr10,ds_nwpuresisc45,ds_zhang_aircraft,ds_sn_building,ds_gid,ds_inria,ds_whubuilding_aer,ds_whu_building_sat,ds_whu_rsone,ds_ucas_aod,ds_ssdd,ds_opensarship,ds_soris,ds_oirds,ds_airuvsar,ds_rsod,ds_eurosat,ds_deepsat,ds_roadtracer
2015,IGARSS,10.1109/IGARSS.2015.7326158,Building detection in very high resolution multispectral data with deep learning features,Greece,Greece,settlement,building foortprint,Satellite,Multispectral,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,AlexNet,Vintage,AlexNet,Vintage,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,IGARSS,10.1109/IGARSS.2015.7326163,Detection of seals in remote sensing images using features extracted from deep convolutional neural networks,Norway,Not specified,other,wildlife,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,patch based,AlexNet,Vintage,AlexNet,Vintage,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2016.2618840,Polarimetric SAR Image Classification Using Deep Convolutional Neural Networks,China,Netherlands,agriculture,multiple crop types,Aircraft,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,LeNet,Vintage,LeNet,Vintage,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2016,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2016.2601622,Learning Rotation-Invariant Convolutional Neural Networks for Object Detection in VHR Optical Remote Sensing Images,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,R-CNN,R-CNN,AlexNet,Vintage,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2016.2569141,Weakly Supervised Learning Based on Coupled Convolutional Neural Networks for Aircraft Detection,China,Multilocal,transportation,aircrafts,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,patch based,custom,custom,custom,custom,Matlab,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IGARSS,10.1109/IGARSS.2016.7729230,Multiscale convolutional neural network for the detection of built-up areas in high-resolution SAR images,China,China,general LCLU,built-up areas,Satellite,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IGARSS,10.1109/IGARSS.2016.7729461,Large urban zone classification on SPOT-5 imagery with convolutional neural networks,Italy,Europe,general LCLU,built-up areas,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IGARSS,10.1109/IGARSS.2016.7729406,Fully convolutional networks for building and road extraction: Preliminary results,Canada,USA,settlement,building foortprint,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,FCN-4s,FCN,VGG,Vintage,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IGARSS,10.1109/IGARSS.2016.7729387,A deep learning approach to the classification of sub-decimetre resolution aerial images,Netherlands,Germany,settlement,urban VHR feature extraction,Aircraft,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,NA,NA,NA,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,IGARSS,10.1109/IGARSS.2016.7729166,CNN based suburban building detection using monocular high resolution Google Earth images,Netherlands,China,settlement,building foortprint,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,patch based,AlexNet,Vintage,AlexNet,Vintage,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
